id,categories1,categories2,categories3,categories4,categories5,Job_title
166548,python,mongodb,openstack,numpy,scipy,Python Developer
206219,python,hadoop,bigdata,scala,data-warehouse,Data Engineer
207492,r,sql,data-analysis,statistics,tableau,Data Analyst
203689,javascript,java,visualforce,salesforce,apex,Salesforce Developer
205720,r,python,etl,bash,sql,Data Engineer
208438,python,r,etl,java,apache-kafka,Data Engineer
207947,ruby-on-rails,go,elixir,mysql,elasticsearch,DevOps Engineer
202397,java,scala,python,aws,spark,Software Developer
194991,r,python,project-management,machine-learning,data-analysis,Data Scientist
201382,artificial-intelligence,deep-learning,tensorflow,python,etl,Data Scientist
205151,java,selenium,scala,mongodb,elasticsearch,Quality Assurance Analyst 
209807,django,python,postgresql,reactjs,nosql,Software Developer
207284,amazon-web-services,linux,python,hadoop,,Cloud Engineer
207244,amazon-web-services,linux,elasticsearch,docker,continuous-integration,DevOps Engineer
208559,python,spacy,elasticsearch,amazon-web-services,nlp,Python Developer
207850,java,java-ee,spring,,,Software Developer
207319,qa,testing,end-to-end,sdlc,,Quality Assurance Analyst 
205040,qa,testing,automation,visual-studio,sdlc,Quality Assurance Analyst 
201824,python,cassandra,mongodb,hadoop,java,Data Engineer
204837,scala,hadoop,go,r,apache-spark,Data Scientist
202914,apache-kafka,amazon-kinesis,google-bigquery,amazon-redshift,postgresql,Data Engineer
194042,python,javascript,bigdata,cloud,,Software Developer
170921,javascript,amazon-web-services,scala,python,spark-dataframe,Software Developer
162146,salesforce,apex,sql,javascript,html,Salesforce Developer
206331,machine-learning,python,apache-kafka,apache-spark,,Data Scientist
205122,druid,amazon-kinesis,hadoop,apache-spark,amazon-web-services,Data Engineer
207118,sql,,,,,Big Data Developer
201248,java,python,scalability,machine-learning,c++,Software Developer
198634,hadoop,python,nosql,,,Data Engineer
195518,scala,scalability,scala-collections,functional-programming,imperative-programming,Data Engineer
202371,amazon-web-services,python,java,hadoop,postgresql,Data Engineer
205862,ggplot,dplyr,numpy,sql,hive,Data Scientist
172842,oracle,mysql,postgresql,mongodb,elasticsearch,Data Architect
203060,java,scala,aws,python,rest,Software Developer
201965,hadoop,python,apache-spark,,,Data Engineer
201966,hadoop,python,apache-spark,,,Data Engineer
204675,java,python,sql,,,Software Developer
194284,python,rest,amazon-web-services,docker,api,Backend Developer
150898,apache-spark,apache-kafka,druid,bigdata,java,Big Data Developer
208666,java,python,sql,,,Software Developer
198218,hadoop,apache-spark,python,hbase,apache-kafka,Big Data Developer
201349,sql,google-bigquery,amazon-redshift,python,java,Data Engineer
200305,java,microservices,spring,elasticsearch,,Java Developer
208544,java,java-ee,elasticsearch,mysql,rest,Java Developer
204786,java,python,sql,,,Machine Learning Engineer
201848,java,python,sql,,,Software Developer
208200,python,amazon-web-services,saas,elasticsearch,,Software Developer
196328,php,mysql,olap,google-analytics,tableau,Data Scientist
208193,java,python,sql,,,Software Developer
208194,java,python,sql,,,Software Developer
186359,user-interface,rest,apex,salesforce-lightning,soap,Salesforce Developer
208192,java,python,sql,,,Software Developer
208198,java,python,sql,,,Software Developer
208201,qa,testing,automation,oop,sql,Quality Assurance Analyst 
200126,nlp,python,machine-learning,tensorflow,pyspark,Data Scientist
208424,python,java,sql,,,Data Engineer
207752,machine-learning,networking,web-services,,,Software Developer
206757,python,apache-spark,hadoop,scala,druid,Data Engineer
206013,machine-learning,web-services,,,,Software Developer
204714,apache-spark,scala,tableau,kubernetes,amazon-quicksight,Data Scientist
200330,java,python,sql,,,Machine Learning Engineer
208687,r,machine-learning,d3.js,,,Data Scientist
203390,agile,scala,salesforce,python,functional-programming,Software Developer
198477,scala,nosql,amazon-web-services,java,apache-spark,Software Developer
188627,java,scala,apache-spark,,,Data Engineer
135662,python,hadoop,postgresql,nginx,amazon-web-services,DevOps Engineer
208505,sql,mongodb,backend,,,Backend Developer
153189,python,rest,amazon-web-services,docker,api,Backend Developer
207274,scala,python,mysql,nosql,kafka,Big Data Developer
166788,c#,java,scala,hadoop,apache-kafka,Software Developer
202815,sql,amazon-redshift,python,ruby,etl,Data Scientist
199249,pyspark,hadoop,python,amazon-web-services,tensorflow,Data Scientist
192979,hadoop,spark,,,,Data Engineer
165789,python,elasticsearch,django,postgresql,redis,Backend Developer
200241,java,less,agile,,,Salesforce Developer
208686,testing,design,java,hadoop,,Software Developer
157331,java,objective-c,swift,nativeapplication,mobile,Java Developer
147629,python,postgresql,regex,excel,python-2.7,Software Developer
155355,python,etl,,,,Data Engineer
155988,etl,python,,,,Data Engineer
158011,python,postgresql,amazon-web-services,geopandas,etl,Data Engineer
148433,python,sql,amazon-web-services,amazon-ec2,etl,Data Engineer
144460,etl,sql,hadoop,c#,.net,Big Data Developer
153952,scala,java,cassandra,data-warehouse,etl,Data Engineer
128209,hadoop,etl,machine-learning,sql,java,Data Engineer
99712,etl,sql,apache-spark,java,,Software Developer
111248,etl,python,hadoop,mapreduce,hive,Data Scientist
135500,python,etl,qlikview,sql,database,Data Engineer
154279,apache-spark,scala,sql,etl,mapreduce,Data Engineer
157088,business-intelligence,data-warehouse,etl,amazon-redshift,amazon-web-services,Data Engineer
156722,python,hadoop,scala,etl,apache-spark,Data Scientist
157837,sql,apache-spark,etl,hadoop,mysql,Data Engineer
156689,python,apache-spark,hadoop,nosql,etl,Data Engineer
155665,apache-spark,scalability,ruby-on-rails,etl,bigdata,Data Engineer
154344,python,java,etl,scala,luigi,Data Engineer
152674,etl,hadoop,apache-kafka,apache-storm,apache-spark,Big Data Developer
159368,algorithm,machine-learning,qa,computer-vision,,Machine Learning Engineer
138779,java,camel,spring,jenkins,spark,Java Developer
159008,.net,jenkins,devops,git,,DevOps Engineer
151923,apache-spark,java,elasticsearch,apache-kafka,database,Data Engineer
137601,hadoop,apache-spark,java,nosql,bigdata,Big Data Developer
132762,java,web-services,rest,esb,talend,Java Developer
145329,sql,java,ruby,python,hadoop,Data Engineer
137058,hadoop,java,scala,apache-spark-sql,sql,Big Data Developer
144652,machine-learning,r,python,analytics,data-science,Data Scientist
145554,c++,c,boost,matlab,opencv,Software Developer
141462,java,softwareentwickler,,,,Java Developer
140325,python,postgresql,hadoop,amazon-web-services,docker,Machine Learning Engineer
139732,java,apache,spring,angularjs,bigdata,Software Developer
120745,java,scala,jvm,hadoop,sql,Java Developer
158825,php,mysql,javascript,html,salesforce,Salesforce Developer
155998,.net,javascript,cloud,scala,machine-learning,Data Scientist
159212,hadoop,apache-spark,google-bigquery,amazon-redshift,voldemort,Data Engineer
151449,hadoop,python,nosql,java,,Data Engineer
152785,hadoop,python,datawarehousing,tableau,dimensional-modeling,Data Engineer
159560,scala,hadoop,amazon-web-services,sql,,Data Engineer
159213,hadoop,java,sql,java-ee,linux,Cloud Engineer
126595,javascript,elasticsearch,amazon-s3,apache-spark,hadoop,Software Developer
155156,machine-learning,python,nlp,,,Data Scientist
132745,bigdata,hadoop,hive,apache-pig,apache-kafka,Data Engineer
155182,java,java-ee,javascript,web,bigdata,Software Developer
156345,linux,amazon-web-services,mongodb,ansible,elasticsearch,DevOps Engineer
152684,hadoop,nosql,apache-spark,apache-storm,elastic,Software Developer
155153,salesforce,apex,visualforce,java,.net,Salesforce Developer
156122,python,java,amazon-web-services,bigdata,mysql,Big Data Developer
147476,sql,hadoop,python,java,spark,Data Engineer
144434,hadoop,hdfs,apache-spark,informatica,machine-learning,Data Engineer
156770,java,,,,,Data Engineer
158593,machine-learning,reactjs,apache-spark,hadoop,tensorflow,Software Developer
154101,database,sql-server,ssis,architecture,,Data Architect
154109,amazon-web-services,cloud,hadoop,,,Software Developer
157684,oracle,sql,plsql,database,sysadmin,Big Data Developer
132746,azure,aws,pentaho,talend,cloudera,Cloud Engineer
157229,datawarehouse,,,,,Software Developer
158816,hadoop,bigdata,apache-spark,amazon-web-services,,Data Engineer
142103,python,apache-spark,hadoop,,,Data Engineer
154115,amazon-web-services,cloud,hadoop,,,Software Developer
154114,amazon-web-services,cloud,hadoop,c++,python,Software Developer
152886,web-services,hadoop,bigdata,java,java-ee,Big Data Developer
154753,apache-spark,java,hadoop,hbase,hdfs,Data Engineer
149637,database-administration,c#,sql,javascript,microsoft,Big Data Developer
155464,scala,hadoop,python,apache-spark,,Software Developer
157110,hadoop,sql,bash,python,aws,Data Engineer
155395,clojure,amazon-web-services,sql,nosql,docker,Data Engineer
153566,scala,python,java,spark,pyspark,Data Engineer
205429,r,machine-learning,python,deep-learning,bigdata,Data Scientist
172697,java,mongodb,spring-boot,elasticsearch,microservices,Backend Developer
205536,r,java,python,c++,sql,Artificial Intelligence
194895,data-warehouse,sql,etl,python,shiny,Data Scientist
207630,mysql,php,java,ruby,,Data Scientist
166424,cloud,amazon-web-services,elasticsearch,php,architecture,Cloud Engineer
200386,java,data-pipeline,python,scalability,ab-testing,Software Developer
206863,python,sql,javascript,tableau,ab-testing,Data Analyst
206244,sql,qa,database,python,javascript,Quality Assurance Analyst 
207465,qa,automation,python,docker,,Software Developer
199355,selenium-webdriver,selenium,automated-tests,php,,Quality Assurance Analyst 
204480,qa,selenium-webdriver,salesforce,,,Quality Assurance Analyst 
202869,qa,java,automation,nightwatch.js,selenium,Quality Assurance Analyst 
204814,qa,testing,automated-tests,,,Quality Assurance Analyst 
200632,qa,ios,android,,,Quality Assurance Analyst 
202175,java,xml,sql,selenium,soapui,Quality Assurance Analyst 
202071,qa,testing,javascript,testrail,,Quality Assurance Analyst 
162673,automation,testing,python,unit-testing,performance,Software Developer
186792,automation,qa,python,,,Quality Assurance Analyst 
200148,automation,testing,qa,,,Software Developer
204590,automation,testing,automated-tests,,,DevOps Engineer
204023,python,testing,sql,,,Data Engineer
201509,java,cloud,continuous-integration,continuous-delivery,testing,Java Developer
206930,scala,apache-spark,machine-learning,algorithm,statistics,Machine Learning Engineer
206655,python,java,amazon-web-services,docker,sql,Java Developer
205400,apache-spark,scala,amazon-redshift,google-bigquery,data-science,Data Engineer
203407,amazon-web-services,chef,puppet,continuous-integration,agile,DevOps Engineer
138196,machine-learning,deep-learning,tensorflow,scikit-learn,python,Machine Learning Engineer
207901,kubernetes,openfaas,docker,go,python,Data Scientist
207899,go,kubernetes,docker,git,,Data Scientist
203518,statistics,r,scala,machine-learning,data-science,Machine Learning Engineer
203523,scala,functional-programming,java,apache-spark,kubernetes,Data Engineer
155246,machine-learning,algorithm,c,java,python,Software Developer
199818,hadoop,scala,python,bigdata,,Data Engineer
155241,machine-learning,r,unity3d,,,Data Scientist
140904,python,pandas,data-modeling,etl,postgresql,Data Engineer
202910,multiprocessing,jupyter,numpy,pandas,python,Data Scientist
140635,reactjs,javascript,ecmascript-6,redux-saga,redux,Front End Developer
15018,salesforce,api,java,json,,Salesforce Developer
199604,python,medical,data-science,,,Data Scientist
206676,python,pyspark,scala,git,machine-learning,Data Scientist
205825,r,machine-learning,python,sql,apache-spark,Data Scientist
202776,r,machine-learning,algorithm,,,Data Scientist
202399,r,python,sql,jupyter,,Data Scientist
205878,r,python,machine-learning,data-science,github,Data Scientist
186080,python,elasticsearch,rabbitmq,docker,redis,Python Developer
133248,python,node.js,rust,cassandra,elasticsearch,Software Developer
158586,ember.js,node.js,sass,clojure,javascript,Big Data Developer
206168,java,javascript,java-ee,angular,salesforce,Software Developer
205698,spark,kafka,emr,python,hadoop,Data Engineer
199278,hadoop,apache-spark,apache-kafka,hive,etl,Data Engineer
199960,java,python,sql,,,Java Developer
208696,python,apache-spark,machine-learning,sql,hive,Data Engineer
202838,docker,kubernetes,apache-kafka,devops,elasticsearch,DevOps Engineer
206070,r,machine-learning,python,,,Data Scientist
204101,python,saas,sql,bigdata,etl,Backend Developer
204099,python,saas,elasticsearch,serverless-framework,solr,Software Developer
204224,python,docker,rabbitmq,elasticsearch,amazon-web-services,Backend Developer
206045,python,r,sql,machine-learning,algorithm,Machine Learning Engineer
208079,consumer,aws,,,,Cloud Engineer
206683,reactjs,javascript,python,plotly,,Front End Developer
198054,amazon-web-services,machine-learning,agile,,,Cloud Engineer
170323,java,amazon-web-services,node.js,spring-mvc,,Software Developer
142067,php,soap,mongodb,mysql,bigdata,Backend Developer
197855,amazon-web-services,nosql,sql,amazon-dynamodb,mongodb,Cloud Engineer
205976,java,spring,java-ee,javascript,angular,Java Developer
204668,java,elasticsearch,hbase,python,rabbitmq,Java Developer
196926,python,apache-spark,postgresql,tensorflow,elasticsearch,Data Engineer
201455,angularjs,java,spring-boot,microservices,unix,Big Data Developer
206924,hadoop,scala,nosql,,,Big Data Developer
196089,database,sql,hadoop,python,nosql,Data Engineer
206985,sql,luigi,airflow,apache-spark,c#,Data Engineer
208085,java,python,sql,mysql,amazon-redshift,Data Engineer
207750,machine-learning,r,,,,Software Developer
140223,c++,python,c,linux,,Software Developer
208026,scala,php,agile,ruby,databricks,DevOps Engineer
199073,apache-spark,bigdata,etl,,,Software Developer
199065,agile,scala,hbase,apache-spark,,Software Developer
203474,database,etl,tableau,,,Data Engineer
202820,scala,kafka,apache-spark,cassandra,aerospike,Big Data Developer
199075,scala,apache-spark,,,,Software Developer
199069,agile,scala,hbase,apache-spark,,Software Developer
206911,reactjs,three.js,d3.js,redux,css,Front End Developer
200020,scala,apache-spark,google-cloud-platform,apache-kafka,continuous-integration,Data Engineer
206944,apache-spark,scala,amazon-web-services,,,Data Engineer
199064,agile,scala,hbase,apache-spark,,Software Developer
199070,agile,scala,hbase,apache-spark,,Software Developer
206859,c#,asp.net,sql,,,Software Developer
206143,apache-spark,hadoop,java,sql,docker,Software Developer
207822,java,,,,,Software Developer
199074,apache-spark,bigdata,etl,,,Software Developer
203756,rabbitmq,kotlin,cassandra,elasticsearch,akka,Java Developer
207724,machinelearning,apachespark,rserver,paas,javascript,Full Stack Developer 
201510,hadoop,etl,java,python,jenkins,Data Engineer
207773,data-science,r,python,amazon-web-services,,Data Scientist
197918,sql,atl,aws,python,,Data Engineer
201269,hadoop,python,hive,java,apache-spark,Data Engineer
202470,spring,boot,java,,,Java Developer
170590,signal-processing,deep-learning,machine-learning,acoustics,numerical-methods,Machine Learning Engineer
205865,javascript,reactjs,node.js,redux,mongodb,Full Stack Developer 
206112,java,scala,apache-spark,hadoop,python,Java Developer
206011,r,machine-learning,python,,,Data Scientist
166878,sql,python,amazon-web-services,apache-spark,hadoop,Data Engineer
200032,cloud,python,bigdata,apache-spark,,Software Developer
203446,apache-spark,hadoop,java,,,Data Engineer
202944,hadoop,apache,bigdata,,,Big Data Developer
196532,r,machine-learning,python,deep-learning,dynamic,Data Scientist
147424,javascript,html,css,reactjs,json,Software Developer
201670,java,python,sql,,,Java Developer
201388,java,aws,machine-learning,amazon-web-services,,Java Developer
206692,java,angularjs,javascript,apache-spark,,Full Stack Developer 
198528,python,pandas,data-science,sql,dask,Data Engineer
194347,c++,c#,visual-studio,machine-learning,image-processing,Software Developer
207867,apache-spark,node.js,go,python,mysql,Data Engineer
194613,r,data-science,google-cloud-platform,linux,geospatial,Data Engineer
172784,java,machine-learning,hadoop,,,Java Developer
166637,apache-spark,hadoop,bigdata,,,Data Engineer
164816,java,algorithm,machine-learning,jenkins,continuous-integration,Java Developer
201260,python,nlp,machine-learning,text-mining,named-entity-recognition,Data Scientist
201413,machine-learning,java,python,javascript,reactjs,Software Developer
172189,scala,apache-spark,docker,java,cloud,Cloud Engineer
208460,hadoop,python,mssql,pyspark,aws,Data Engineer
208362,algorithm,machine-learning,c++,python,linux,Software Developer
208589,reactjs,typescript,postgresql,elasticsearch,,Full Stack Developer 
208753,hadoop,amazon-web-services,machine-learning,,,Data Engineer
208215,python,sql,tensorflow,gis,machine-learning,Data Engineer
208621,cloud,d3.js,machine-learning,,,Data Engineer
208368,reactjs,typescript,d3.js,ecmascript-6,redux-observable,Front End Developer
160997,java,etl,user-experience,hadoop,python,Data Architect
208459,sql,python,json,xml,matplotlib,Data Analyst
208558,azure,hadoop,sql,hdinsight,mapreduce,Data Engineer
196520,machine-learning,go,javascript,python,scala,Machine Learning Engineer
204287,python,node.js,web-services,sql,elasticsearch,Backend Developer
203433,hadoop,apache-spark,database,bigdata,spark-streaming,Data Engineer
205731,azure,sql,nosql,data-security,etl,Data Architect
138304,java,sql,html,javascript,ajax,Salesforce Developer
201669,r,python,sql,data-ingestion,aws,Data Engineer
190154,ruby,sql,java,python,,Data Scientist
195765,salesforce,salesforce-lightning,apex-code,visualforce,soql,Salesforce Developer
180775,amazon-web-services,python,ansible,,,Cloud Engineer
173146,php,mysql,elasticsearch,percona-xtradb-cluster,kubernetes,Backend Developer
209825,python,django,qa,,,Data Analyst
201317,analytics,pandas,data-analysis,,,Data Analyst
196189,apache-spark,spark,,,,Software Developer
201225,python,c++,go,tensorflow,docker,Full Stack Developer 
157654,scala,python,keras,machine-learning,data-science,Machine Learning Engineer
201227,python,c++,caffe,tensorflow,machine-learning,Machine Learning Engineer
208367,kubernetes,openfaas,docker,go,python,Data Scientist
198201,scala,apache-spark,amazon-web-services,apache-kafka,terraform,Big Data Developer
208369,go,kubernetes,docker,git,,Data Scientist
202709,scala,apache-spark,aws,amazon-redshift,,Data Engineer
195949,elixir,ruby-on-rails,microservices,machine-learning,event-sourcing,Backend Developer
205653,cloud,amazon-web-services,azure,artificial-intelligence,,Artificial Intelligence
159927,hadoop,cloudera,java,bigdata,geospatial,Java Developer
207797,machine-learning,sql,python,r,apache-spark,Data Scientist
200759,sql,python,numpy,pandas,hadoop,Data Analyst
206169,reactjs,php,zend-framework,mysql,redis,Software Developer
206026,python,sql,machine-learning,aws,,Data Scientist
168980,algorithm,machine-learning,deep-learning,python,,Machine Learning Engineer
203943,java,python,r,julia,octave,Data Scientist
202368,salesforce,salesforce-lightning,etl,javascript,css,Salesforce Developer
164525,python,scikit-learn,numpy,tensorflow,sql,Data Scientist
202866,java,python,data-modeling,r,bigdata,Data Scientist
200900,python,etl,solr,nlp,machine-learning,Data Engineer
205304,python,r,scikit-learn,,,Data Scientist
207454,java,c++,python,artificial-intelligence,machine-learning,Artificial Intelligence
207148,c++,java,c,,,Data Scientist
202226,scala,php,java,postgresql,elasticsearch,Backend Developer
186790,python,c++,go,,,Software Developer
204817,node.js,javascript,angular,database,amazon-web-services,Artificial Intelligence
207828,salesforce,apex,javascript,html5,visualforce,Salesforce Developer
203366,python,cloud,apache-spark,docker,kubernetes,Data Engineer
207345,elasticsearch,amazon-web-services,etl,logstash,lucene,Software Developer
189940,python,database,analytics,,,Machine Learning Engineer
200369,c++,caffe,tensorflow,computer-vision,deep-learning,Software Developer
170363,python,postgresql,hadoop,apache-spark,java,Data Engineer
205235,machine-learning,python,sql,algorithms,bigdata,Machine Learning Engineer
206177,cloud,amazon-web-services,python,scala,etl,Cloud Engineer
194030,java,amazon-web-services,elasticsearch,spring,postgresql,Java Developer
166881,etl,sql,informatica,data-modeling,data-integration,Data Engineer
120922,java,akka,scala,apache-flink,,Software Developer
200498,elasticsearch,ansible,amazon-web-services,linux,sysadmin,DevOps Engineer
162255,python,javascript,java,amazon-web-services,machine-learning,Software Developer
197822,sql,sql-server,ssis,,,Data Engineer
206729,java,python,sql,,,Software Developer
163376,python,google-cloud-platform,automation,security,web-services,Backend Developer
183484,python,web-crawler,web-scraping,scrapy,data-science,Python Developer
167961,python,mysql,javascript,jupyter,sqlalchemy,Python Developer
200497,elasticsearch,java,amazon-web-services,postgresql,mongodb,Java Developer
198122,python,google-cloud-platform,automation,security,web-services,Backend Developer
194033,java,python,amazon-web-services,elasticsearch,postgresql,Software Developer
205892,python,api,rest,java,jupyter-notebook,Software Developer
204089,machine-learning,python,apache-spark,hadoop,scala,Data Scientist
207310,scala,apache-spark,etl,mysql,postgresql,Data Engineer
193038,linux,ansible,devops,docker,automation,Artificial Intelligence
201171,kubernetes,python,terraform,airflow,ansible,Data Engineer
205242,r,python,sql,,,Data Scientist
174234,php,rest,oop,elasticsearch,mongodb,Backend Developer
195079,nosql,google-cloud-platform,,,,Big Data Developer
205680,python,amazon-redshift,java,airflow,,Data Engineer
202796,apache-spark,sql,data-warehouse,java,python,Data Engineer
206062,python,sql,hadoop,apache-spark,,Machine Learning Engineer
201181,python,pandas,,,,Software Developer
207659,web-technologies,configuration,,,,Java Developer
205349,sql,python,java,amazon-redshift,postgresql,Big Data Developer
159517,python,rest,amazon-web-services,numpy,pandas,Backend Developer
194323,java,elasticsearch,mongodb,javascript,node.js,Software Developer
190593,hadoop,python,,,,Data Engineer
159909,python,tensorflow,amazon-web-services,time-series,java,Data Scientist
166740,c++,python,artificial-intelligence,tensorflow,,Artificial Intelligence
161070,c++,machine-learning,python,,,Machine Learning Engineer
206664,scala,java,database,,,Data Engineer
207508,scala,amazon-s3,amazon-emr,apache-spark-sql,python,Data Scientist
206432,scala,java,sql,hadoop,mongo,Data Engineer
206639,amazon-web-services,java,python,apache-kafka,,Data Engineer
160645,machine-learning,hadoop,python,mongodb,nlp,Data Scientist
206299,mongodb,java,mysql,jenkins,jira,Data Engineer
126592,angular2,d3.js,apache-spark,amazon-s3,elasticsearch,Software Developer
194732,apache-kafka,java,amazon-web-services,apache-spark,,Data Engineer
206163,python,java,microservices,spark,aws,Software Developer
172083,r,data-science,bigdata,python,cortana-intelligence,Data Scientist
181679,hadoop,python,pyspark,r,statistics,Data Scientist
206382,oop,java,hadoop,gnu,linux,Software Developer
155770,java,docker,spring-boot,linux,elasticsearch,Backend Developer
144841,symfony,php,mysql,laravel,elasticsearch,Backend Developer
147089,java,azure,amazon-web-services,php,cloud,Cloud Engineer
151097,javascript,reactjs,,,,Front End Developer
158276,groovy,java,hadoop,model-view-controller,grails,Software Developer
156772,java,,,,,Data Engineer
153911,r,python,sql,amazon-redshift,,Data Analyst
153909,java,mongodb,apache-spark,go,postgresql,Backend Developer
133018,java,flume,elasticsearch,git,linux,Java Developer
154291,python,airflow,apache-spark,amazon-redshift,,Data Engineer
140868,hadoop,cloud,java,json,accumulo,Cloud Engineer
132677,python,scala,c++,postgresql,agile,Backend Developer
146436,mongodb,java-8,apache-kafka,hadoop,vert.x,Java Developer
158956,.net,c#,testing,qa,,Quality Assurance Analyst 
153210,c++,mpi,numpy,linux,hpc,Machine Learning Engineer
145969,nlp,genetic-algorithm,python,user-interface,tensorflow,Software Developer
154073,matlab,c,embedded,,,Software Developer
133970,python,tensorflow,machine-learning,deep-learning,nlp,Artificial Intelligence
155869,testing,qa,,,,Quality Assurance Analyst 
156072,python,sql,google-adwords,apache-spark,,Backend Developer
152112,hadoop,spark,cassandra,rabbitmq,redis,Software Developer
151921,reactjs,javascript,redux,webpack,d3.js,Front End Developer
157840,apache-spark,algorithm,scala,machine-learning,search,Data Engineer
157828,algorithm,machine-learning,c++,python,artificial-intelligence,Machine Learning Engineer
158335,hadoop,apache-spark,scala,microservices,amazon-web-services,Data Engineer
158145,python,automated-tests,apache-spark,scala,node.js,Quality Assurance Analyst 
